sku_id,stock_quantity,warehouse,last_updated
SKU-BEAU-05592,353,Wellington,2026-01-09
SKU-OFFI-09975,421,Auckland,2026-03-11
SKU-HEAL-11618,63,Brisbane,2026-04-27
SKU-ELEC-00601,239,Adelaide,2026-05-04
SKU-APPA-01994,141,Wellington,2026-07-04
SKU-BEAU-05608,,Christchurch,2026-05-22
SKU-OFFI-10131,92,Adelaide,2026-06-24
SKU-ELEC-00154,331,Perth,2026-05-14
SKU-HOME-03107,281,Christchurch,2026-04-12
SKU-ELEC-01142,292,Adelaide,2026-06-14
SKU-AUTO-08149,275,Melbourne,2026-05-28
SKU-HOME-03506,180,Melbourne,2026-06-21
SKU-GROC-08796,110,Christchurch,2026-05-28
SKU-HEAL-10820,252,Wellington,2026-05-17
SKU-HOME-02983,252,Wellington,2026-01-02
SKU-APPA-02380,135,Melbourne,2026-04-04
SKU-APPA-01989,195,Wellington,2026-04-15
SKU-APPA-01969,,Adelaide,2026-06-19
SKU-HOME-03477,444,Perth,2026-01-23
SKU-HEAL-11787,446,Wellington,2026-02-11
SKU-HEAL-11248,119,Auckland,2026-03-14
SKU-SPOR-03831,123,Adelaide,2026-07-07
SKU-OFFI-09979,492,Perth,2026-07-23
SKU-BEAU-04955,479,Perth,2026-05-28
SKU-OFFI-10548,181,Sydney,2026-05-08
SKU-HEAL-11607,472,Perth,2026-01-15
SKU-TOYS-07029,292,Perth,2026-05-25
SKU-BEAU-05077,94,Adelaide,2026-04-22
SKU-SPOR-04144,285,Melbourne,2026-04-05
SKU-TOYS-06310,410,Adelaide,2026-07-10
SKU-ELEC-00247,164,Perth,2026-01-21
SKU-ELEC-00486,71,Melbourne,2026-06-21
SKU-AUTO-08339,,Adelaide,2026-03-15
SKU-GROC-08840,406,Wellington,2026-01-14
SKU-TOYS-06809,280,Brisbane,2026-02-08
SKU-ELEC-00646,323,Auckland,2026-05-05
SKU-HOME-02803,402,Auckland,2026-02-06
SKU-BEAU-04993,126,Wellington,2026-07-27
SKU-APPA-02157,456,Adelaide,2026-07-26
SKU-ELEC-00688,,Auckland,2026-07-16
SKU-GROC-08702,314,Auckland,2026-04-13
SKU-AUTO-07482,25,Melbourne,2026-07-13
SKU-BEAU-05262,148,Adelaide,2026-06-27
SKU-TOYS-07153,69,Wellington,2026-05-23
SKU-AUTO-07394,192,Brisbane,2026-06-18
SKU-OFFI-10106,173,Auckland,2026-05-28
SKU-OFFI-09773,455,Auckland,2026-05-27
SKU-BEAU-05972,14,Christchurch,2026-03-20
SKU-APPA-01940,6,Brisbane,2026-01-04
SKU-HOME-02715,117,Sydney,2026-01-22
SKU-TOYS-06032,446,Adelaide,2026-07-27
SKU-SPOR-04568,486,Sydney,2026-06-19
SKU-AUTO-08060,136,Perth,2026-07-09
SKU-GROC-09503,177,Melbourne,2026-04-13
SKU-ELEC-00129,494,Christchurch,2026-01-21
SKU-AUTO-08304,383,Perth,2026-05-08
SKU-TOYS-06281,440,Wellington,2026-04-01
SKU-BEAU-05260,131,Sydney,2026-06-12
SKU-GROC-09597,429,Christchurch,2026-03-09
SKU-GROC-08504,233,Melbourne,2026-04-24
SKU-ELEC-00399,243,Perth,2026-01-11
SKU-HEAL-11023,199,Wellington,2026-05-04
SKU-TOYS-06634,107,Christchurch,2026-03-08
SKU-HOME-03513,218,Sydney,2026-06-10
SKU-AUTO-07811,191,Brisbane,2026-02-26
SKU-TOYS-06989,89,Auckland,2026-01-04
SKU-OFFI-10645,199,Auckland,2026-04-12
SKU-OFFI-10612,323,Brisbane,2026-05-11
SKU-APPA-01597,332,Perth,2026-02-03
SKU-GROC-08666,23,Melbourne,2026-04-05
SKU-BEAU-05106,50,Wellington,2026-02-01
SKU-AUTO-07413,81,Adelaide,2026-03-11
SKU-AUTO-08372,232,Melbourne,2026-06-18
SKU-HOME-02617,420,Brisbane,2026-03-15
SKU-TOYS-07190,382,Sydney,2026-07-18
SKU-APPA-01294,83,Brisbane,2026-04-10
SKU-OFFI-10797,405,Sydney,2026-07-14
SKU-TOYS-06123,445,Adelaide,2026-05-11
SKU-SPOR-04377,45,Sydney,2026-01-23
SKU-HOME-02701,275,Adelaide,2026-06-17
SKU-HOME-03530,,Auckland,2026-02-14
SKU-AUTO-07354,109,Melbourne,2026-05-24
SKU-HEAL-11568,81,Sydney,2026-05-17
SKU-SPOR-04751,362,Auckland,2026-06-24
SKU-HOME-03585,476,Melbourne,2026-04-03
SKU-BEAU-05467,424,Christchurch,2026-07-07
SKU-ELEC-01002,91,Christchurch,2026-05-13
SKU-OFFI-10653,,Perth,2026-02-20
SKU-APPA-02030,445,Sydney,2026-03-25
SKU-HOME-03385,299,Christchurch,2026-04-02
SKU-APPA-01304,141,Melbourne,2026-04-22
SKU-OFFI-09813,371,Brisbane,2026-06-05
SKU-HEAL-11579,382,Wellington,2026-06-28
SKU-BEAU-05955,492,Christchurch,2026-07-28
SKU-BEAU-05644,473,Brisbane,2026-01-07
SKU-AUTO-07915,77,Auckland,2026-02-27
SKU-ELEC-00248,469,Brisbane,2026-01-21
SKU-TOYS-06151,125,Christchurch,2026-05-14
SKU-TOYS-06290,323,Perth,2026-03-04
SKU-APPA-02175,164,Adelaide,2026-03-11
SKU-BEAU-04946,484,Auckland,2026-06-17
SKU-HEAL-10826,85,Perth,2026-07-06
SKU-TOYS-06173,284,Sydney,2026-06-24
SKU-GROC-08839,476,Perth,2026-03-23
SKU-APPA-01613,319,Melbourne,2026-04-03
SKU-HOME-02673,448,Sydney,2026-07-26
SKU-APPA-02044,52,Brisbane,2026-04-28
SKU-HEAL-11000,89,Sydney,2026-03-06
SKU-APPA-02191,487,Melbourne,2026-06-25
SKU-OFFI-09871,296,Melbourne,2026-04-06
SKU-TOYS-06135,245,Adelaide,2026-03-28
SKU-HOME-03342,268,Melbourne,2026-01-26
SKU-APPA-01343,85,Wellington,2026-07-10
SKU-TOYS-06455,25,Wellington,2026-04-05
SKU-GROC-09533,47,Brisbane,2026-07-23
SKU-AUTO-07578,483,Wellington,2026-01-04
SKU-HEAL-11305,455,Wellington,2026-02-17
SKU-ELEC-00813,473,Sydney,2026-02-03
SKU-AUTO-07607,20,Brisbane,2026-07-06
SKU-ELEC-00883,281,Brisbane,2026-06-22
SKU-TOYS-06889,191,Brisbane,2026-05-06
SKU-SPOR-04418,228,Wellington,2026-06-20
SKU-ELEC-00024,355,Sydney,2026-06-05
SKU-OFFI-09613,207,Christchurch,2026-05-11
SKU-OFFI-10549,480,Christchurch,2026-04-24
SKU-TOYS-06726,273,Sydney,2026-05-24
SKU-HOME-02788,75,Wellington,2026-02-01
SKU-SPOR-04313,456,Perth,2026-07-27
SKU-HEAL-11758,126,Adelaide,2026-06-08
SKU-TOYS-07044,231,Brisbane,2026-06-01
SKU-GROC-08460,486,Auckland,2026-07-19
SKU-APPA-01663,131,Brisbane,2026-02-16
SKU-ELEC-00340,93,Brisbane,2026-07-20
SKU-BEAU-04873,421,Christchurch,2026-01-10
SKU-APPA-01575,440,Melbourne,2026-03-03
SKU-ELEC-00488,392,Perth,2026-06-22
SKU-OFFI-10135,413,Sydney,2026-07-13
SKU-AUTO-07684,499,Melbourne,2026-07-23
SKU-APPA-02369,411,Brisbane,2026-01-09
SKU-APPA-02258,442,Perth,2026-01-28
SKU-ELEC-01146,282,Wellington,2026-04-16
SKU-AUTO-07670,486,Brisbane,2026-05-28
SKU-OFFI-10685,425,Melbourne,2026-04-08
SKU-GROC-08736,268,Auckland,2026-02-06
SKU-HEAL-11954,245,Melbourne,2026-07-14
SKU-BEAU-04974,236,Perth,2026-01-09
SKU-TOYS-06811,313,Perth,2026-05-25
SKU-SPOR-03905,172,Wellington,2026-07-05
SKU-BEAU-04857,,Melbourne,2026-01-03
SKU-BEAU-04876,391,Christchurch,2026-04-08
SKU-TOYS-06958,41,Wellington,2026-07-02
SKU-GROC-08703,481,Melbourne,2026-04-17
SKU-HEAL-11304,226,Auckland,2026-04-22
SKU-SPOR-03756,441,Sydney,2026-05-17
SKU-OFFI-10519,,Auckland,2026-02-02
SKU-HEAL-11079,258,Perth,2026-06-07
SKU-AUTO-08210,175,Wellington,2026-05-24
SKU-AUTO-07412,404,Christchurch,2026-05-13
SKU-TOYS-06616,418,Christchurch,2026-02-06
SKU-AUTO-07614,498,Wellington,2026-02-14
SKU-BEAU-05000,351,Perth,2026-06-06
SKU-BEAU-05533,414,Melbourne,2026-07-27
SKU-ELEC-01056,307,Auckland,2026-06-19
SKU-OFFI-09821,187,Melbourne,2026-03-25
SKU-APPA-01986,423,Melbourne,2026-07-06
SKU-TOYS-07039,114,Brisbane,2026-06-17
SKU-GROC-08431,30,Wellington,2026-07-04
SKU-AUTO-08192,138,Adelaide,2026-01-22
SKU-OFFI-10124,188,Sydney,2026-06-03
SKU-APPA-01966,471,Christchurch,2026-06-12
SKU-OFFI-10559,346,Melbourne,2026-02-02
SKU-SPOR-04375,20,Auckland,2026-01-15
SKU-TOYS-06926,28,Adelaide,2026-02-09
SKU-HOME-02481,358,Melbourne,2026-04-27
SKU-BEAU-05693,244,Perth,2026-04-25
SKU-AUTO-07810,100,Adelaide,2026-02-06
SKU-BEAU-05725,454,Wellington,2026-03-09
SKU-HOME-02916,404,Brisbane,2026-03-21
SKU-AUTO-07419,205,Auckland,2026-01-24
SKU-SPOR-04385,239,Christchurch,2026-06-14
SKU-GROC-08419,174,Adelaide,2026-01-13
SKU-APPA-02095,305,Melbourne,2026-05-25
SKU-AUTO-07481,181,Perth,2026-05-17
